source,product,system,type,severity,price Up to
zerodium.com,Android,Android,"FCP, Zero Click",NaN,"2,500,000"
zerodium.com,iOS,iOS,"FCP, Zero Click",NaN,"2,000,000"
zerodium.com,WhatsApp,"iOS, Android","RCE, LPE, Zero Click",NaN,"1,500,000"
zerodium.com,iMessage,iOS,"RCE, LPE, Zero Click",NaN,"1,500,000"
zerodium.com,WhatsApp,"iOS, Android","RCE, LPE",NaN,"1,000,000"
zerodium.com,SMS/MMS,"iOS, Android","RCE, LPE",NaN,"1,000,000"
zerodium.com,iOS,iOS,Persistence,NaN,"500,000"
zerodium.com,WeChat,"iOS, Android","RCE, LPE",NaN,"500,000"
zerodium.com,iMessage,iOS,"RCE, LPE",NaN,"500,000"
zerodium.com,FB Messenger,"iOS, Android","RCE, LPE",NaN,"500,000"
zerodium.com,Signal,"iOS, Android","RCE, LPE",NaN,"500,000"
zerodium.com,Telegram,"iOS, Android","RCE, LPE",NaN,"500,000"
zerodium.com,Email App,"iOS, Android","RCE, LPE",NaN,"500,000"
zerodium.com,Chrome,Android,"RCE, LPE",NaN,"500,000"
zerodium.com,Safari,iOS,"RCE, LPE",NaN,"500,000"
zerodium.com,Baseband,"iOS, Android","RCE, LPE",NaN,"200,000"
zerodium.com,Kernel/Root,"iOS, Android",LPE,NaN,"200,000"
zerodium.com,Media Files,"iOS, Android","RCE, LPE",NaN,"200,000"
zerodium.com,Documents,"iOS, Android","RCE, LPE",NaN,"200,000"
zerodium.com,Chrome,Android,SBX,NaN,"200,000"
zerodium.com,Chrome,Android,RCE,NaN,"200,000"
zerodium.com,Safari,iOS,SBX,NaN,"200,000"
zerodium.com,Safari,iOS,RCE,NaN,"200,000"
zerodium.com,iOS,iOS,Code Signing Bypass,NaN,"100,000"
zerodium.com,Android,Android,Code Signing Bypass,NaN,"100,000"
zerodium.com,WiFi,"iOS, Android",RCE,NaN,"100,000"
zerodium.com,iOS,iOS,RCE via MitM,NaN,"100,000"
zerodium.com,Android,Android,RCE via MitM,NaN,"100,000"
zerodium.com,System,Android,LPE,NaN,"100,000"
zerodium.com,Information Disclosure,"iOS, Android",NaN,NaN,"100,000"
zerodium.com,[k]ASLR,"iOS, Android",Bypass,NaN,"100,000"
zerodium.com,PIN,Android,Bypass,NaN,"100,000"
zerodium.com,Passcode,iOS,Bypass,NaN,"100,000"
zerodium.com,TouchID,iOS,Bypass,NaN,"100,000"
zerodium.com,Windows,Windows,"RCE, Zero Click",NaN,"1,000,000"
zerodium.com,Chrome,Windows,"RCE, LPE",NaN,"500,000"
zerodium.com,Apache,Linux,RCE,NaN,"500,000"
zerodium.com,MS IIS,Windows,RCE,NaN,"500,000"
zerodium.com,MS Outlook,Windows,RCE,NaN,"250,000"
zerodium.com,MS Exchange,Windows,RCE,NaN,"250,000"
zerodium.com,OpenSSL,Linux,RCE,NaN,"250,000"
zerodium.com,PHP,Linux,RCE,NaN,"250,000"
zerodium.com,VMWare ESXi,"Windows, Linux",VME,NaN,"200,000"
zerodium.com,Thunderbird,"Windows, Linux",RCE,NaN,"200,000"
zerodium.com,Sendmail,Linux,RCE,NaN,"200,000"
zerodium.com,Postfix,Linux,RCE,NaN,"200,000"
zerodium.com,Dovecot,Linux,RCE,NaN,"200,000"
zerodium.com,Exim,Linux,RCE,NaN,"200,000"
zerodium.com,nginx,Linux,RCE,NaN,"200,000"
zerodium.com,Safari,macOS,"RCE, LPE",NaN,"100,000"
zerodium.com,Edge,Windows,"RCE, LPE",NaN,"100,000"
zerodium.com,Firefox,Windows,"RCE, LPE",NaN,"100,000"
zerodium.com,Word/Excel,Windows,"RCE, LPE",NaN,"100,000"
zerodium.com,WordPress,Linux,RCE,NaN,"100,000"
zerodium.com,cPanel/WHM,Linux,RCE,NaN,"100,000"
zerodium.com,Plesk,Linux,RCE,NaN,"100,000"
zerodium.com,Webmin,Linux,RCE,NaN,"100,000"
zerodium.com,VMWare WS,"Windows, Linux",VME,NaN,"80,000"
zerodium.com,Adobe PDF,Windows,"RCE, SBX",NaN,"80,000"
zerodium.com,WinRAR,Windows,RCE,NaN,"80,000"
zerodium.com,7-zip,Windows,RCE,NaN,"80,000"
zerodium.com,Windows,Windows,LPE/SBX,NaN,"80,000"
zerodium.com,USB,"Windows, macOS",LPE,NaN,"50,000"
zerodium.com,Antivirus,Windows,RCE,NaN,"50,000"
zerodium.com,WinZip,Windows,RCE,NaN,"50,000"
zerodium.com,tar,Linux,RCE,NaN,"50,000"
zerodium.com,macOS,macOS,LPE/SBX,NaN,"50,000"
zerodium.com,Linux,Linux,LPE,NaN,"50,000"
zerodium.com,BSD,Linux,LPE,NaN,"50,000"
zerodium.com,Routers,Any,RCE,NaN,"10,000"
zerodium.com,Antivirus,Windows,LPE,NaN,"10,000"
zerodium.com,phpBB,Linux,RCE,NaN,"10,000"
zerodium.com,vBulletin,Linux,RCE,NaN,"10,000"
zerodium.com,MyBB,Linux,RCE,NaN,"10,000"
zerodium.com,Joomla,Linux,RCE,NaN,"10,000"
zerodium.com,Drupal,Linux,RCE,NaN,"10,000"
zerodium.com,Roundcube,Linux,RCE,NaN,"10,000"
zerodium.com,Horde,Linux,RCE,NaN,"10,000"
intel.com,Firmware,Intel,NaN,Critical,"30,000"
intel.com,Firmware,Intel,NaN,High,"15,000"
intel.com,Firmware,Intel,NaN,Medium,"3,000"
intel.com,Firmware,Intel,NaN,Low,"1,000"
intel.com,Software,Intel,NaN,Critical,"10,000"
intel.com,Software,Intel,NaN,High,"5,000"
intel.com,Software,Intel,NaN,Medium,"1,500"
intel.com,Software,Intel,NaN,Low,500
intel.com,Hardware,Intel,NaN,Critical,"100,000"
intel.com,Hardware,Intel,NaN,High,"30,000"
intel.com,Hardware,Intel,NaN,Medium,"5,000"
intel.com,Hardware,Intel,NaN,Low,"2,000"
hackerone.com/verizonmedia,Yahoo,Any,NaN,Critical,"15,000"
hackerone.com/verizonmedia,Yahoo,Any,NaN,High,"10,000"
hackerone.com/verizonmedia,Yahoo,Any,NaN,Medium,"3,000"
hackerone.com/verizonmedia,Yahoo,Any,NaN,Low,500
hackerone.com/dropbox,Dropbox Servers,Any,RCE,NaN,"32,768"
hackerone.com/dropbox,Dropbox Authentication,Any,Bypass,NaN,"17,576"
hackerone.com/dropbox,DropboxApp,"iOS, Android, Windows, macOS, Linux",RCE,NaN,"15,625"
hackerone.com/dropbox,Dropbox,Any,CSRF,NaN,"13,824"
hackerone.com/dropbox,Dropbox,Any,XSS,NaN,"12,167"
google.com/about/appsecurity/chrome-rewards/,Chrome OS,Chrome OS,Sandbox Escape,NaN,"30,000"
google.com/about/appsecurity/chrome-rewards/,Lockscreen,Chrome OS,Bypass,NaN,"15,000"
google.com/about/appsecurity/chrome-rewards/,Chrome OS,Chrome OS,Persistence,NaN,"15,000"
google.com/about/appsecurity/android-rewards/,Android,Android,NaN,Critical,"150,000"
google.com/about/appsecurity/android-rewards/,Android,Android,NaN,High,"75,000"
google.com/about/appsecurity/android-rewards/,Android,Android,NaN,Medium,"20,000"
google.com/about/appsecurity/android-rewards/,Android,Android,NaN,Low,330
hackerone.com/quora,Quora,Any,NaN,Critical,"11,000"
hackerone.com/quora,Quora,Any,NaN,High,"3,500"
hackerone.com/quora,Quora,Any,NaN,Medium,"2,000"
hackerone.com/quora,Quora,Any,NaN,Low,500
mozilla.org/en-US/security/web-bug-bounty/,Firefox,Any,RCE,NaN,"5,000"
mozilla.org/en-US/security/web-bug-bounty/,Firefox,Any,Authentication Bypass,NaN,"3,000"
mozilla.org/en-US/security/web-bug-bounty/,Firefox,Any,SQL Injection,NaN,"3,000"
mozilla.org/en-US/security/web-bug-bounty/,Firefox,Any,CSRF,NaN,"2,500"
mozilla.org/en-US/security/web-bug-bounty/,Firefox,Any,XSS,NaN,"2,500"
bugcrowd.com/tesla,Tesla,Any,RCE,NaN,"10,000"
bugcrowd.com/tesla,Tesla,Any,SQLi,NaN,"10,000"
bugcrowd.com/tesla,Tesla,Any,XSS,NaN,"1,000"
bugcrowd.com/tesla,Tesla,Any,CSRF,NaN,500
